time,nrv,si,pos,neg,mean
2016-12-31 23:00:00+00:00,-74.896,83.907,26.73,26.73,26.73
2016-12-31 23:15:00+00:00,133.371,-133.034,46.73,46.73,46.73
2016-12-31 23:30:00+00:00,47.786,-44.419,46.73,46.73,46.73
2016-12-31 23:45:00+00:00,64.721,10.859,46.73,46.73,46.73
2017-01-01 00:00:00+00:00,139.216,-382.232,57.98,60.15,59.065
2017-01-01 00:15:00+00:00,259.902,-239.508,111.24,113.51,112.375
2017-01-01 00:30:00+00:00,203.73,-181.07,111.24,113.64,112.44
2017-01-01 00:45:00+00:00,172.106,-140.052,111.24,113.6,112.42
2017-01-01 01:00:00+00:00,184.271,-225.461,111.24,113.96,112.6
2017-01-01 01:15:00+00:00,204.903,-153.174,111.24,114.01,112.625
2017-01-01 01:30:00+00:00,156.039,-193.959,111.24,114.31,112.775
2017-01-01 01:45:00+00:00,91.382,-56.532,111.24,111.24,111.24
2017-01-01 02:00:00+00:00,66.864,-130.614,46.73,46.73,46.73
2017-01-01 02:15:00+00:00,161.521,-124.571,111.24,111.24,111.24
2017-01-01 02:30:00+00:00,127.882,-100.097,111.24,111.24,111.24
2017-01-01 02:45:00+00:00,162.455,-171.571,111.24,112.8,112.02
2017-01-01 03:00:00+00:00,103.224,-68.851,46.73,46.73,46.73
2017-01-01 03:15:00+00:00,61.094,-37.824,46.73,46.73,46.73
2017-01-01 03:30:00+00:00,71.319,-48.894,46.73,46.73,46.73
2017-01-01 03:45:00+00:00,62.914,-35.145,46.73,46.73,46.73
2017-01-01 04:00:00+00:00,103.048,-87.249,46.73,46.73,46.73
2017-01-01 04:15:00+00:00,74.981,-51.657,46.73,46.73,46.73
2017-01-01 04:30:00+00:00,71.021,-50.022,46.73,46.73,46.73
2017-01-01 04:45:00+00:00,27.652,-7.374,46.73,46.73,46.73
2017-01-01 05:00:00+00:00,134.448,-119.312,46.73,46.73,46.73
2017-01-01 05:15:00+00:00,154.726,-122.318,46.73,46.73,46.73
2017-01-01 05:30:00+00:00,113.988,-92.254,46.73,46.73,46.73
2017-01-01 05:45:00+00:00,126.321,-84.325,46.73,46.73,46.73
2017-01-01 06:00:00+00:00,169.842,-159.644,46.73,47.36,47.045
2017-01-01 06:15:00+00:00,161.337,-144.938,46.73,47.51,47.12
2017-01-01 06:30:00+00:00,226.738,-227.357,46.73,47.92,47.325
2017-01-01 06:45:00+00:00,172.305,-147.71,46.73,48.1,47.415
2017-01-01 07:00:00+00:00,137.994,-123.945,80.28,80.28,80.28
2017-01-01 07:15:00+00:00,166.528,-141.365,80.28,81.7,80.99
2017-01-01 07:30:00+00:00,60.978,-71.856,46.73,46.73,46.73
2017-01-01 07:45:00+00:00,93.037,-50.07,46.73,46.73,46.73
2017-01-01 08:00:00+00:00,108.392,-119.919,46.73,46.73,46.73
2017-01-01 08:15:00+00:00,83.263,-62.023,46.73,46.73,46.73
2017-01-01 08:30:00+00:00,131.19,-148.177,46.73,47.61,47.17
2017-01-01 08:45:00+00:00,143.144,-192.867,46.73,47.73,47.23
2017-01-01 09:00:00+00:00,35.805,0.167,46.73,46.73,46.73
2017-01-01 09:15:00+00:00,97.689,-71.993,46.73,46.73,46.73
2017-01-01 09:30:00+00:00,95.545,-77.475,46.73,46.73,46.73
2017-01-01 09:45:00+00:00,109.573,-91.162,46.73,46.73,46.73
2017-01-01 10:00:00+00:00,68.202,-31.066,46.73,46.73,46.73
2017-01-01 10:15:00+00:00,121.79,-135.678,46.73,46.73,46.73
2017-01-01 10:30:00+00:00,144.963,-128.471,46.73,46.73,46.73
2017-01-01 10:45:00+00:00,145.524,-152.001,46.73,47.38,47.055
2017-01-01 11:00:00+00:00,127.872,-119.914,49.57,49.57,49.57
2017-01-01 11:15:00+00:00,141.864,-165.018,49.57,50.53,50.05
2017-01-01 11:30:00+00:00,139.728,-216.339,49.57,50.87,50.22
2017-01-01 11:45:00+00:00,64.787,-39.325,49.57,49.57,49.57
2017-01-01 12:00:00+00:00,18.301,-58.26,48.69,48.69,48.69
2017-01-01 12:15:00+00:00,149.678,-232.658,48.69,50.25,49.47
2017-01-01 12:30:00+00:00,267.461,-249.606,111.24,113.18,112.21
2017-01-01 12:45:00+00:00,152.119,-120.039,111.24,111.24,111.24
2017-01-01 13:00:00+00:00,37.799,-11.73,46.73,46.73,46.73
2017-01-01 13:15:00+00:00,137.805,-117.255,46.73,46.73,46.73
2017-01-01 13:30:00+00:00,130.997,-109.584,46.73,46.73,46.73
2017-01-01 13:45:00+00:00,93.755,-85.166,46.73,46.73,46.73
2017-01-01 14:00:00+00:00,75.63,-74.608,46.73,46.73,46.73
2017-01-01 14:15:00+00:00,138.227,-135.476,46.73,46.73,46.73
2017-01-01 14:30:00+00:00,134.951,-122.348,46.73,46.73,46.73
2017-01-01 14:45:00+00:00,68.593,-23.04,46.73,46.73,46.73
2017-01-01 15:00:00+00:00,141.019,-141.47,46.73,47.5,47.115
2017-01-01 15:15:00+00:00,186.633,-166.004,46.73,47.62,47.175
2017-01-01 15:30:00+00:00,24.634,-10.095,46.73,46.73,46.73
2017-01-01 15:45:00+00:00,4.512,24.429,46.73,46.73,46.73
2017-01-01 16:00:00+00:00,251.953,-308.257,66.74,68.22,67.48
2017-01-01 16:15:00+00:00,193.39,-192.76,66.74,68.37,67.555
2017-01-01 16:30:00+00:00,133.843,-98.939,66.74,66.74,66.74
2017-01-01 16:45:00+00:00,121.524,-93.942,111.24,111.24,111.24
2017-01-01 17:00:00+00:00,169.831,-160.248,111.24,112.95,112.095
2017-01-01 17:15:00+00:00,80.868,-60.382,111.24,111.24,111.24
2017-01-01 17:30:00+00:00,97.397,-73.594,111.24,111.24,111.24
2017-01-01 17:45:00+00:00,52.484,-37.358,111.24,111.24,111.24
2017-01-01 18:00:00+00:00,-44.129,81.346,2.41,2.41,2.41
2017-01-01 18:15:00+00:00,-97.207,122.601,2.41,2.41,2.41
2017-01-01 18:30:00+00:00,-2.053,26.828,2.41,2.41,2.41
2017-01-01 18:45:00+00:00,58.252,-30.14,66.74,66.74,66.74
2017-01-01 19:00:00+00:00,91.552,-186.731,61.08,61.65,61.365
